net_pnl,max_monthly_cap,avg_monthly_cap_req,final_price,min_price,max_price
-25488.923956920997,3419.5512360327702,417.8512261351354,456045.7857319607,49588.42392202019,799412.7425081733
-12713.630755211714,3113.7584427343972,277.7207258915225,117805.98058404872,11320.524001163047,189972.40542403483
-52623.61484361473,5741.760569166792,934.7852104351672,120895.00778297304,46924.89268397563,227355.79440802342
67831.41501173818,4005.363990538681,169.1766219823777,2003.7410786436942,1012.3329108071508,105641.85150918478
-1154.834395474683,364.5212808045135,18.93171140123341,1106241.2045316037,80039.09128648978,1154547.4731906953
-41259.058087433754,5165.502183240758,676.3780073270739,659537.5847080926,34465.505531262585,760720.8616520215
-27451.734411538702,4162.21964416065,450.0284331579591,739564.6525621397,59677.50333204481,780020.226521807
48889.982993287114,2402.2397030446627,261.0187455453394,14366.994990416408,9870.173169794854,201017.19467787794
30589.585554390997,4836.023693410782,352.24331129149925,27435.101437098238,24952.473121977026,293828.9397701539
-1021.0061295492378,364.5212808045135,16.73780540245147,678090.8024180589,94752.85023292553,1499225.8368239217
64227.39486067271,5111.403439394286,209.55681175581108,2882.9913861887985,2245.7860484835132,113214.3436863102
-68678.46235196045,5479.915441555517,1125.9308299021159,187745.31037264335,45990.06928490912,239658.42056905315
23309.548301917137,3241.410720958891,402.60490581354117,25423.53445432271,22427.63859079017,465381.0070562892
53673.71867988083,2073.892750969426,93.88795726848844,18965.50648471146,17160.607062285297,311715.4119482268
-25774.277497860596,4584.412530007528,733.1926210453732,70747.62548957083,36010.05127093872,297417.1091063097
-4974.232075812279,1857.270535904474,81.54478960122681,630329.039374247,82819.31394846637,1627033.9919791066
-3349.466045243085,1037.5748729328852,54.91423991423975,241051.7120032572,81617.48039791222,723633.0022097068
-5018.0633696660625,4944.348902585261,617.2905842998782,49432.79946832812,28313.350885749267,290220.8143829184
-9854.438387265418,5664.399564349238,161.54817028303955,1322550.5171578955,33577.074000237975,1359509.7020168572
-33050.47382558666,4290.240893267925,541.811047023388,506472.04187368037,32942.603676933926,674157.8516402824
32640.02001971427,4760.069603393233,504.44490012285087,17101.32280498205,15592.479922560897,132595.74606355824
-31786.79582736661,4136.191806446906,521.2647028722333,241150.98656164503,71040.54410164575,336407.39129738905
