date,expiry,instrument,strike,option_type,ttm_days,iv,price
2025-06-04,2025-06-27,BTC-27JUN25-78000-C,78000.000000,call,23.333333,49.930000,0.258500
2025-06-04,2025-06-27,BTC-27JUN25-78000-P,78000.000000,put,23.333333,57.830000,0.000800
2025-06-04,2025-06-27,BTC-27JUN25-80000-C,80000.000000,call,23.333333,50.780000,0.243500
2025-06-04,2025-06-27,BTC-27JUN25-80000-P,80000.000000,put,23.333333,54.540000,0.001100
2025-06-04,2025-06-27,BTC-27JUN25-82000-C,82000.000000,call,23.333333,43.090000,0.220500
2025-06-04,2025-06-27,BTC-27JUN25-82000-P,82000.000000,put,23.333333,52.060000,0.001100
2025-06-04,2025-06-27,BTC-27JUN25-84000-C,84000.000000,call,23.333333,45.020000,0.202000
2025-06-04,2025-06-27,BTC-27JUN25-84000-P,84000.000000,put,23.333333,50.490000,0.001500
2025-06-04,2025-06-27,BTC-27JUN25-85000-P,85000.000000,put,23.333333,48.820000,0.001600
2025-06-04,2025-06-27,BTC-27JUN25-88000-C,88000.000000,call,23.333333,42.620000,0.165000
2025-06-04,2025-06-27,BTC-27JUN25-88000-P,88000.000000,put,23.333333,46.680000,0.002600
2025-06-04,2025-06-27,BTC-27JUN25-90000-C,90000.000000,call,23.333333,41.950000,0.147000
2025-06-04,2025-06-27,BTC-27JUN25-90000-P,90000.000000,put,23.333333,43.530000,0.003800
2025-06-04,2025-06-27,BTC-27JUN25-92000-C,92000.000000,call,23.333333,41.330000,0.129500
2025-06-04,2025-06-27,BTC-27JUN25-92000-P,92000.000000,put,23.333333,43.280000,0.004800
2025-06-04,2025-06-27,BTC-27JUN25-95000-C,95000.000000,call,23.333333,41.740000,0.109500
2025-06-04,2025-06-27,BTC-27JUN25-95000-P,95000.000000,put,23.333333,42.440000,0.008000
2025-06-04,2025-06-27,BTC-27JUN25-97000-C,97000.000000,call,23.333333,40.480000,0.091500
2025-06-04,2025-06-27,BTC-27JUN25-97000-P,97000.000000,put,23.333333,41.610000,0.011000
2025-06-04,2025-06-27,BTC-27JUN25-100000-C,100000.000000,call,23.333333,40.540000,0.070000
2025-06-04,2025-06-27,BTC-27JUN25-100000-P,100000.000000,put,23.333333,39.390000,0.017500
2025-06-04,2025-06-27,BTC-27JUN25-101000-C,101000.000000,call,23.333333,40.090000,0.063500
2025-06-04,2025-06-27,BTC-27JUN25-101000-P,101000.000000,put,23.333333,40.250000,0.019500
2025-06-04,2025-06-27,BTC-27JUN25-102000-C,102000.000000,call,23.333333,39.820000,0.055000
2025-06-04,2025-06-27,BTC-27JUN25-102000-P,102000.000000,put,23.333333,39.790000,0.023500
2025-06-04,2025-06-27,BTC-27JUN25-105000-C,105000.000000,call,23.333333,39.750000,0.039000
2025-06-04,2025-06-27,BTC-27JUN25-105000-P,105000.000000,put,23.333333,40.310000,0.040000
2025-06-04,2025-06-27,BTC-27JUN25-107000-C,107000.000000,call,23.333333,40.540000,0.034100
2025-06-04,2025-06-27,BTC-27JUN25-107000-P,107000.000000,put,23.333333,40.030000,0.045500
2025-06-04,2025-06-27,BTC-27JUN25-108000-C,108000.000000,call,23.333333,39.500000,0.029000
2025-06-04,2025-06-27,BTC-27JUN25-108000-P,108000.000000,put,23.333333,40.600000,0.056500
2025-06-04,2025-06-27,BTC-27JUN25-109000-C,109000.000000,call,23.333333,41.040000,0.030500
2025-06-04,2025-06-27,BTC-27JUN25-109000-P,109000.000000,put,23.333333,40.630000,0.056500
2025-06-04,2025-06-27,BTC-27JUN25-110000-C,110000.000000,call,23.333333,39.760000,0.021000
2025-06-04,2025-06-27,BTC-27JUN25-110000-P,110000.000000,put,23.333333,40.520000,0.061800
2025-06-04,2025-06-27,BTC-27JUN25-112000-C,112000.000000,call,23.333333,40.360000,0.018500
2025-06-04,2025-06-27,BTC-27JUN25-112000-P,112000.000000,put,23.333333,40.310000,0.077500
2025-06-04,2025-06-27,BTC-27JUN25-115000-C,115000.000000,call,23.333333,40.750000,0.010500
2025-06-04,2025-06-27,BTC-27JUN25-115000-P,115000.000000,put,23.333333,42.460000,0.103500
2025-06-04,2025-06-27,BTC-27JUN25-120000-C,120000.000000,call,23.333333,42.170000,0.006000
2025-06-04,2025-06-27,BTC-27JUN25-125000-C,125000.000000,call,23.333333,45.560000,0.003300
2025-06-04,2025-06-27,BTC-27JUN25-125000-P,125000.000000,put,23.333333,46.360000,0.189500
2025-06-04,2025-06-27,BTC-27JUN25-130000-C,130000.000000,call,23.333333,47.280000,0.002000
2025-06-04,2025-06-27,BTC-27JUN25-135000-C,135000.000000,call,23.333333,49.970000,0.001500
2025-06-04,2025-06-27,BTC-27JUN25-135000-P,135000.000000,put,23.333333,53.390000,0.279500
2025-06-04,2025-06-27,BTC-27JUN25-140000-C,140000.000000,call,23.333333,52.560000,0.001000
2025-06-04,2025-06-27,BTC-27JUN25-140000-P,140000.000000,put,23.333333,57.970000,0.326500
2025-06-04,2025-06-27,BTC-27JUN25-150000-C,150000.000000,call,23.333333,56.830000,0.000400
2025-06-04,2025-06-27,BTC-27JUN25-150000-P,150000.000000,put,23.333333,64.460000,0.418000
2025-06-04,2025-06-27,BTC-27JUN25-160000-C,160000.000000,call,23.333333,63.040000,0.000300
2025-06-04,2025-06-27,BTC-27JUN25-170000-C,170000.000000,call,23.333333,71.250000,0.000300
2025-06-04,2025-06-27,BTC-27JUN25-170000-P,170000.000000,put,23.333333,86.400000,0.616500
2025-06-04,2025-06-27,BTC-27JUN25-180000-C,180000.000000,call,23.333333,76.140000,0.000200
2025-06-04,2025-06-27,BTC-27JUN25-180000-P,180000.000000,put,23.333333,94.730000,0.711500
2025-06-04,2025-06-27,BTC-27JUN25-190000-P,190000.000000,put,23.333333,102.470000,0.806500
2025-06-04,2025-06-27,BTC-27JUN25-200000-C,200000.000000,call,23.333333,83.870000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-200000-P,200000.000000,put,23.333333,109.680000,0.901500
2025-06-04,2025-06-27,BTC-27JUN25-220000-C,220000.000000,call,23.333333,95.550000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-220000-P,220000.000000,put,23.333333,122.750000,1.091500
2025-06-04,2025-06-27,BTC-27JUN25-240000-C,240000.000000,call,23.333333,104.690000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-240000-P,240000.000000,put,23.333333,134.350000,1.281500
2025-06-04,2025-06-27,BTC-27JUN25-250000-C,250000.000000,call,23.333333,109.460000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-250000-P,250000.000000,put,23.333333,139.680000,1.376500
2025-06-04,2025-06-27,BTC-27JUN25-260000-C,260000.000000,call,23.333333,113.700000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-280000-C,280000.000000,call,23.333333,121.960000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-300000-C,300000.000000,call,23.333333,129.820000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-300000-P,300000.000000,put,23.333333,170.020000,1.852000
2025-06-04,2025-06-27,BTC-27JUN25-400000-P,400000.000000,put,23.333333,196.180000,2.801500
2025-06-03,2025-06-27,BTC-27JUN25-45000-P,45000.000000,put,24.333333,116.500000,0.000100
2025-06-03,2025-06-27,BTC-27JUN25-50000-C,50000.000000,call,24.333333,112.190000,0.528500
2025-06-03,2025-06-27,BTC-27JUN25-50000-P,50000.000000,put,24.333333,108.240000,0.000200
2025-06-03,2025-06-27,BTC-27JUN25-55000-P,55000.000000,put,24.333333,95.920000,0.000200
2025-06-03,2025-06-27,BTC-27JUN25-60000-P,60000.000000,put,24.333333,87.320000,0.000300
2025-06-03,2025-06-27,BTC-27JUN25-65000-P,65000.000000,put,24.333333,79.490000,0.000400
2025-06-03,2025-06-27,BTC-27JUN25-70000-C,70000.000000,call,24.333333,0.000000,0.344000
